"Time","primary","secondary","substituted","sample_count"
1679529600.000000,0.761,0.030,0.000,690
1679616000.000000,0.718,0.027,0.000,714
1679702400.000000,0.824,0.027,0.000,558
1679788800.000000,0.731,0.072,0.000,609
1679875200.000000,0.038,0.958,0.000,478
1679961600.000000,0.695,0.065,0.000,642
1680048000.000000,0.791,0.030,0.000,474
1680134400.000000,0.792,0.027,0.000,548
1680220800.000000,0.722,0.028,0.000,632
1680307200.000000,0.758,0.037,0.000,1300
1680393600.000000,0.788,0.033,0.000,1304
1680480000.000000,0.635,0.095,0.000,704
1680566400.000000,0.710,0.046,0.000,649
1680652800.000000,0.683,0.022,0.000,714
1680739200.000000,0.697,0.028,0.000,653
1680825600.000000,0.803,0.023,0.000,575
1680912000.000000,0.833,0.010,0.000,575
1680998400.000000,0.756,0.029,0.000,516
1681084800.000000,0.817,0.028,0.000,562
1681171200.000000,0.747,0.022,0.000,697
1681257600.000000,0.739,0.010,0.000,625
1681344000.000000,0.760,0.017,0.000,641
1681430400.000000,0.728,0.019,0.000,628
1681516800.000000,0.739,0.035,0.000,579
1681603200.000000,0.722,0.022,0.000,807
1681689600.000000,0.678,0.038,0.000,771
1681776000.000000,0.730,0.030,0.000,693
1681862400.000000,0.750,0.023,0.000,604
1681948800.000000,0.702,0.041,0.000,738
1682035200.000000,0.292,0.472,0.000,674
1682121600.000000,0.678,0.022,0.000,826
1682208000.000000,0.775,0.025,0.000,893
1682294400.000000,0.722,0.025,0.000,706
1682380800.000000,0.648,0.027,0.000,849
1682467200.000000,0.621,0.016,0.000,3790
1682553600.000000,0.660,0.027,0.000,7368
1682640000.000000,0.646,0.018,0.000,7907
1682726400.000000,0.698,0.025,0.000,6646
1682812800.000000,0.762,0.022,0.000,5973
1682899200.000000,0.748,0.029,0.000,7023
1682985600.000000,0.598,0.048,0.000,7659
1683072000.000000,0.697,0.028,0.000,7431
1683158400.000000,0.632,0.037,0.000,7562
1683244800.000000,0.603,0.031,0.000,7764
1683331200.000000,0.715,0.026,0.000,6569
1683417600.000000,0.686,0.025,0.000,6415
1683504000.000000,0.612,0.046,0.000,7150
1683590400.000000,0.660,0.024,0.000,7273
1683676800.000000,0.584,0.036,0.000,7352
1683763200.000000,0.622,0.023,0.000,6723
1683849600.000000,0.546,0.031,0.000,7137
1683936000.000000,0.642,0.021,0.000,6034
1684022400.000000,0.617,0.094,0.000,6343
1684108800.000000,0.664,0.131,0.000,7040
1684195200.000000,0.693,0.065,0.000,7135
1684281600.000000,0.648,0.022,0.000,7555
1684368000.000000,0.726,0.033,0.000,6887
1684454400.000000,0.739,0.030,0.000,7021
1684540800.000000,0.772,0.018,0.000,5700
1684627200.000000,0.626,0.032,0.000,6135
1684713600.000000,0.597,0.047,0.000,7465
1684800000.000000,0.561,0.067,0.000,7395
1684886400.000000,0.694,0.035,0.000,7613
1684972800.000000,0.620,0.047,0.000,7655
1685059200.000000,0.635,0.043,0.000,7739
1685145600.000000,0.591,0.040,0.000,7240
1685232000.000000,0.704,0.032,0.000,6118
1685318400.000000,0.705,0.030,0.000,6592
1685404800.000000,0.668,0.034,0.000,7534
1685491200.000000,0.644,0.036,0.000,7699
1685577600.000000,0.597,0.046,0.000,7543
1685664000.000000,0.652,0.029,0.000,8034
1685750400.000000,0.669,0.050,0.000,6911
1685836800.000000,0.657,0.074,0.000,7064
1685923200.000000,0.627,0.050,0.000,7353
1686009600.000000,0.686,0.025,0.000,7267
1686096000.000000,0.634,0.058,0.000,7226
1686182400.000000,0.713,0.037,0.000,7417
1686268800.000000,0.664,0.040,0.000,7303
1686355200.000000,0.702,0.028,0.000,6544
1686441600.000000,0.672,0.037,0.000,6919
1686528000.000000,0.614,0.038,0.000,7814
1686614400.000000,0.637,0.057,0.000,7634
1686700800.000000,0.584,0.048,0.000,7480
1686787200.000000,0.638,0.040,0.000,7700
1686873600.000000,0.610,0.035,0.000,7588
1686960000.000000,0.608,0.037,0.000,6739
1687046400.000000,0.657,0.040,0.000,6234
1687132800.000000,0.613,0.044,0.000,6670
1687219200.000000,0.623,0.050,0.000,7423
1687305600.000000,0.605,0.039,0.000,6884
1687392000.000000,0.566,0.085,0.000,7407
1687478400.000000,0.483,0.099,0.000,7989
1687564800.000000,0.646,0.045,0.000,7334
1687651200.000000,0.617,0.047,0.000,6617
1687737600.000000,0.586,0.067,0.000,7383
1687824000.000000,0.646,0.056,0.000,6990
1687910400.000000,0.679,0.032,0.000,7274
1687996800.000000,0.643,0.051,0.000,7222
1688083200.000000,0.563,0.043,0.000,7572
1688169600.000000,0.705,0.037,0.000,6951
1688256000.000000,0.633,0.043,0.000,6747
1688342400.000000,0.644,0.021,0.000,7290
1688428800.000000,0.594,0.084,0.000,7557
1688515200.000000,0.567,0.076,0.000,7553
1688601600.000000,0.622,0.049,0.000,7581
1688688000.000000,0.513,0.046,0.000,7970
1688774400.000000,0.619,0.049,0.000,6982
1688860800.000000,0.518,0.067,0.000,7957
1688947200.000000,0.556,0.054,0.000,7940
1689033600.000000,0.521,0.047,0.000,7904
1689120000.000000,0.473,0.132,0.000,7602
1689206400.000000,0.527,0.072,0.000,8168
1689292800.000000,0.590,0.058,0.000,8458
1689379200.000000,0.638,0.038,0.000,6977
1689465600.000000,0.636,0.038,0.000,7489
1689552000.000000,0.646,0.030,0.000,7745
1689638400.000000,0.603,0.049,0.000,7568
1689724800.000000,0.622,0.039,0.000,7767
1689811200.000000,0.595,0.048,0.000,7993
1689897600.000000,0.604,0.041,0.000,8218
1689984000.000000,0.706,0.036,0.000,7386
1690070400.000000,0.713,0.034,0.000,7400
1690156800.000000,0.669,0.042,0.000,8119
1690243200.000000,0.607,0.042,0.000,7757
1690329600.000000,0.626,0.039,0.000,8186
1690416000.000000,0.567,0.059,0.000,8328
1690502400.000000,0.532,0.084,0.000,9132
1690588800.000000,0.634,0.043,0.000,8118
1690675200.000000,0.694,0.036,0.000,8441
1690761600.000000,0.526,0.059,0.000,8969
1690848000.000000,0.584,0.041,0.000,8315
1690934400.000000,0.561,0.040,0.000,7930
1691020800.000000,0.571,0.037,0.000,8462
1691107200.000000,0.590,0.028,0.000,8802
1691193600.000000,0.682,0.036,0.000,7811
1691280000.000000,0.660,0.044,0.000,7907
1691366400.000000,0.596,0.044,0.000,8416
1691452800.000000,0.612,0.047,0.000,7900
1691539200.000000,0.632,0.035,0.000,8297
1691625600.000000,0.663,0.031,0.000,8440
1691712000.000000,0.594,0.072,0.000,8718
1691798400.000000,0.661,0.035,0.000,7505
1691884800.000000,0.649,0.050,0.000,7862
1691971200.000000,0.576,0.053,0.000,8979
1692057600.000000,0.557,0.052,0.000,8721
1692144000.000000,0.552,0.048,0.000,8566
1692230400.000000,0.575,0.066,0.000,8794
1692316800.000000,0.585,0.041,0.000,8762
1692403200.000000,0.654,0.037,0.000,7148
1692489600.000000,0.544,0.045,0.000,7374
1692576000.000000,0.628,0.045,0.000,9441
1692662400.000000,0.646,0.040,0.000,8594
1692748800.000000,0.625,0.040,0.000,8693
1692835200.000000,0.576,0.046,0.000,8714
1692921600.000000,0.532,0.058,0.000,8927
1693008000.000000,0.604,0.070,0.000,7473
1693094400.000000,0.670,0.066,0.000,1937
1693180800.000000,0.601,0.050,0.000,1725
1693267200.000000,0.621,0.046,0.000,5853
1693353600.000000,0.582,0.059,0.000,7810
1693440000.000000,0.632,0.041,0.000,8063
1693526400.000000,0.560,0.053,0.000,8240
1693612800.000000,0.624,0.033,0.000,7365
1693699200.000000,0.673,0.030,0.000,7794
1693785600.000000,0.619,0.040,0.000,8733
1693872000.000000,0.608,0.029,0.000,8836
1693958400.000000,0.539,0.061,0.000,8103
1694044800.000000,0.546,0.078,0.000,8491
1694131200.000000,0.532,0.088,0.000,8115
1694217600.000000,0.656,0.083,0.000,2059
1694304000.000000,0.473,0.072,0.000,2192
1694390400.000000,0.430,0.062,0.000,3894
1694476800.000000,0.454,0.073,0.000,4964
1694563200.000000,0.496,0.053,0.000,2502
1694649600.000000,0.537,0.049,0.000,2203
1694736000.000000,0.566,0.042,0.000,2765
1694822400.000000,0.542,0.059,0.000,5682
1694908800.000000,0.541,0.061,0.000,2165
1694995200.000000,0.529,0.052,0.000,7698
1695081600.000000,0.495,0.062,0.000,8715
1695168000.000000,0.554,0.051,0.000,8888
1695254400.000000,0.500,0.045,0.000,9172
1695340800.000000,0.507,0.041,0.000,10258
1695427200.000000,0.534,0.049,0.000,7769
1695513600.000000,0.576,0.061,0.000,9480
1695600000.000000,0.564,0.049,0.000,8768
1695686400.000000,0.529,0.109,0.000,8640
1695772800.000000,0.533,0.083,0.000,8708
1695859200.000000,0.485,0.065,0.000,8959
1695945600.000000,0.504,0.040,0.000,9734
1696032000.000000,0.584,0.035,0.000,8328
1696118400.000000,0.660,0.027,0.000,9281
1696204800.000000,0.617,0.033,0.000,8615
1696291200.000000,0.646,0.026,0.000,9094
1696377600.000000,0.592,0.049,0.000,8995
1696464000.000000,0.612,0.033,0.000,8942
1696550400.000000,0.548,0.038,0.000,9481
1696636800.000000,0.569,0.042,0.000,7917
1696723200.000000,0.643,0.033,0.000,8584
1696809600.000000,0.543,0.033,0.000,8917
1696896000.000000,0.604,0.035,0.000,8484
1696982400.000000,0.600,0.043,0.000,9072
1697068800.000000,0.562,0.045,0.000,9106
1697155200.000000,0.550,0.044,0.000,10539
1697241600.000000,0.495,0.066,0.000,9027
1697328000.000000,0.645,0.039,0.000,10345
1697414400.000000,0.541,0.058,0.000,10013
1697500800.000000,0.529,0.056,0.000,9333
1697587200.000000,0.583,0.071,0.000,9370
1697673600.000000,0.505,0.060,0.000,9596
1697760000.000000,0.495,0.048,0.000,9956
1697846400.000000,0.546,0.053,0.000,9144
1697932800.000000,0.598,0.064,0.000,9517
1698019200.000000,0.554,0.064,0.000,9813
1698105600.000000,0.583,0.050,0.000,9912
1698192000.000000,0.571,0.045,0.000,9706
1698278400.000000,0.563,0.061,0.000,9635
1698364800.000000,0.556,0.046,0.000,10027
1698451200.000000,0.574,0.033,0.000,8003
1698537600.000000,0.631,0.028,0.000,9045
1698624000.000000,0.539,0.043,0.000,8761
1698710400.000000,0.480,0.065,0.000,8176
1698796800.000000,0.631,0.050,0.000,8108
1698883200.000000,0.456,0.070,0.000,9230
1698969600.000000,0.573,0.064,0.000,8903
1699056000.000000,0.559,0.059,0.000,7610
1699142400.000000,0.554,0.056,0.000,8977
1699228800.000000,0.521,0.058,0.000,9244
1699315200.000000,0.562,0.047,0.000,9207
1699401600.000000,0.567,0.037,0.000,9292
1699488000.000000,0.532,0.035,0.000,9166
1699574400.000000,0.544,0.046,0.000,9427
1699660800.000000,0.606,0.030,0.000,7918
1699747200.000000,0.634,0.029,0.000,8286
1699833600.000000,0.511,0.043,0.000,9976
1699920000.000000,0.465,0.042,0.000,10009
1700006400.000000,0.442,0.130,0.000,9763
1700092800.000000,0.097,0.847,0.000,9993
1700179200.000000,0.440,0.075,0.000,10243
1700265600.000000,0.472,0.080,0.000,7608
1700352000.000000,0.537,0.045,0.000,8066
1700438400.000000,0.500,0.053,0.000,9566
1700524800.000000,0.508,0.045,0.000,9548
1700611200.000000,0.481,0.052,0.000,9467
1700697600.000000,0.443,0.073,0.000,9441
1700784000.000000,0.410,0.063,0.000,9713
1700870400.000000,0.542,0.075,0.000,7486
1700956800.000000,0.554,0.057,0.000,7629
1701043200.000000,0.517,0.063,0.000,9133
1701129600.000000,0.405,0.116,0.000,9385
1701216000.000000,0.365,0.143,0.000,9342
1701302400.000000,0.495,0.076,0.000,6768
1701388800.000000,0.466,0.085,0.000,8515
1701475200.000000,0.410,0.192,0.000,8097
1701561600.000000,0.405,0.219,0.000,12424
1701648000.000000,0.352,0.208,0.000,14809
1701734400.000000,0.381,0.196,0.000,14593
1701820800.000000,0.412,0.195,0.000,15107
1701907200.000000,0.405,0.211,0.000,14844
1701993600.000000,0.084,0.866,0.000,15237
1702080000.000000,0.507,0.126,0.000,15328
1702166400.000000,0.614,0.065,0.000,14397
1702252800.000000,0.543,0.063,0.000,15848
1702339200.000000,0.506,0.092,0.000,15570
1702425600.000000,0.522,0.087,0.000,15585
1702512000.000000,0.475,0.088,0.000,15105
1702598400.000000,0.528,0.089,0.000,15921
1702684800.000000,0.635,0.077,0.000,14361
1702771200.000000,0.684,0.062,0.000,15152
1702857600.000000,0.565,0.073,0.000,16165
1702944000.000000,0.561,0.057,0.000,15802
1703030400.000000,0.591,0.043,0.000,14257
1703116800.000000,0.459,0.165,0.000,10545
1703203200.000000,0.297,0.217,0.000,11045
1703289600.000000,0.468,0.127,0.000,9868
1703376000.000000,0.778,0.039,0.000,9282
1703462400.000000,0.686,0.047,0.000,8834
1703548800.000000,0.702,0.048,0.000,9624
1703635200.000000,0.593,0.041,0.000,10111
1703721600.000000,0.607,0.056,0.000,7982
1703808000.000000,0.631,0.041,0.000,2566
1703894400.000000,0.713,0.033,0.000,5009
1703980800.000000,0.815,0.028,0.000,9283
1704067200.000000,0.701,0.055,0.000,9270
1704153600.000000,0.638,0.058,0.000,9135
1704240000.000000,0.679,0.040,0.000,9175
1704326400.000000,0.677,0.034,0.000,10182
1704412800.000000,0.680,0.030,0.000,9431
1704499200.000000,0.685,0.034,0.000,4947
1704585600.000000,0.673,0.039,0.000,6347
1704672000.000000,0.613,0.033,0.000,9137
1704758400.000000,0.486,0.081,0.000,8998
1704844800.000000,0.099,0.860,0.000,8788
1704931200.000000,0.118,0.833,0.000,8878
1705017600.000000,0.132,0.831,0.000,9026
1705104000.000000,0.629,0.076,0.000,5063
1705190400.000000,0.679,0.024,0.000,4015
1705276800.000000,0.613,0.039,0.000,8803
1705363200.000000,0.575,0.039,0.000,8679
1705449600.000000,0.472,0.069,0.000,8563
1705536000.000000,0.439,0.110,0.000,8987
1705622400.000000,0.490,0.088,0.000,9018
1705708800.000000,0.624,0.041,0.000,7922
1705795200.000000,0.646,0.035,0.000,8302
1705881600.000000,0.390,0.127,0.000,9546
1705968000.000000,0.398,0.116,0.000,9370
1706054400.000000,0.072,0.867,0.000,9486
1706140800.000000,0.092,0.847,0.000,9219
1706227200.000000,0.093,0.848,0.000,9390
1706313600.000000,0.105,0.841,0.000,8254
1706400000.000000,0.120,0.808,0.000,8521
1706486400.000000,0.445,0.112,0.000,9382
1706572800.000000,0.447,0.054,0.000,9075
1706659200.000000,0.462,0.045,0.000,8958
1706745600.000000,0.447,0.043,0.000,9067
1706832000.000000,0.400,0.129,0.000,9233
1706918400.000000,0.451,0.094,0.000,7923
1707004800.000000,0.527,0.091,0.000,8298
1707091200.000000,0.554,0.038,0.000,8827
1707177600.000000,0.505,0.057,0.000,8808
1707264000.000000,0.465,0.031,0.000,8922
1707350400.000000,0.472,0.035,0.000,8659
1707436800.000000,0.471,0.032,0.000,8925
1707523200.000000,0.556,0.027,0.000,8127
1707609600.000000,0.641,0.016,0.000,8169
1707696000.000000,0.485,0.048,0.000,8815
1707782400.000000,0.480,0.055,0.000,8775
1707868800.000000,0.453,0.031,0.000,8714
1707955200.000000,0.470,0.042,0.000,8699
1708041600.000000,0.444,0.048,0.000,9050
1708128000.000000,0.519,0.043,0.000,8126
1708214400.000000,0.554,0.035,0.000,8319
1708300800.000000,0.599,0.020,0.000,10237
1708387200.000000,0.744,0.028,0.000,5833
1708473600.000000,0.611,0.031,0.000,9515
1708560000.000000,0.583,0.022,0.000,11636
1708646400.000000,0.614,0.030,0.000,11903
1708732800.000000,0.600,0.031,0.000,9260
1708819200.000000,0.626,0.033,0.000,9364
1708905600.000000,0.637,0.026,0.000,12025
1708992000.000000,0.620,0.023,0.000,11408
1709078400.000000,0.590,0.030,0.000,11745
1709164800.000000,0.664,0.021,0.000,11490
1709251200.000000,0.632,0.035,0.000,11051
1709337600.000000,0.585,0.047,0.000,9088
1709424000.000000,0.618,0.042,0.000,9282
1709510400.000000,0.636,0.029,0.000,10961
1709596800.000000,0.623,0.027,0.000,11496
1709683200.000000,0.615,0.036,0.000,10856
1709769600.000000,0.273,0.628,0.000,12500
1709856000.000000,0.287,0.635,0.000,11710
1709942400.000000,0.599,0.046,0.000,9284
1710028800.000000,0.671,0.024,0.000,9389
1710115200.000000,0.607,0.036,0.000,10970
1710201600.000000,0.267,0.665,0.000,11808
1710288000.000000,0.581,0.066,0.000,11740
1710374400.000000,0.605,0.054,0.000,10901
1710460800.000000,0.575,0.041,0.000,10535
1710547200.000000,0.569,0.027,0.000,6858
1710633600.000000,0.651,0.019,0.000,7382
1710720000.000000,0.579,0.037,0.000,10118
1710806400.000000,0.587,0.028,0.000,10099
1710892800.000000,0.568,0.043,0.000,10690
1710979200.000000,0.600,0.040,0.000,10611
1711065600.000000,0.604,0.037,0.000,10428
1711152000.000000,0.577,0.058,0.000,7477
1711238400.000000,0.577,0.041,0.000,7277
1711324800.000000,0.591,0.040,0.000,10349
1711411200.000000,0.627,0.039,0.000,9885
1711497600.000000,0.624,0.030,0.000,10277
1711584000.000000,0.559,0.027,0.000,10653
1711670400.000000,0.663,0.022,0.000,10048
1711756800.000000,0.671,0.022,0.000,7409
1711843200.000000,0.696,0.028,0.000,7278
1711929600.000000,0.613,0.038,0.000,8164
1712016000.000000,0.633,0.042,0.000,9841
1712102400.000000,0.601,0.029,0.000,9796
1712188800.000000,0.603,0.029,0.000,9836
1712275200.000000,0.594,0.024,0.000,9708
1712361600.000000,0.565,0.032,0.000,8238
1712448000.000000,0.611,0.036,0.000,7678
1712534400.000000,0.531,0.045,0.000,10654
1712620800.000000,0.586,0.036,0.000,10342
1712707200.000000,0.598,0.046,0.000,10665
1712793600.000000,0.589,0.035,0.000,10853
1712880000.000000,0.587,0.032,0.000,10733
1712966400.000000,0.598,0.048,0.000,8261
1713052800.000000,0.595,0.036,0.000,8498
1713139200.000000,0.576,0.048,0.000,11413
1713225600.000000,0.515,0.052,0.000,11140
1713312000.000000,0.538,0.048,0.000,11630
1713398400.000000,0.611,0.025,0.000,11113
1713484800.000000,0.533,0.027,0.000,11419
1713571200.000000,0.614,0.021,0.000,9001
1713657600.000000,0.567,0.049,0.000,9198
1713744000.000000,0.584,0.056,0.000,12565
1713830400.000000,0.531,0.042,0.000,14428
1713916800.000000,0.562,0.040,0.000,14661
1714003200.000000,0.562,0.034,0.000,14429
1714089600.000000,0.500,0.056,0.000,14805
1714176000.000000,0.515,0.035,0.000,12071
1714262400.000000,0.601,0.021,0.000,11788
1714348800.000000,0.597,0.021,0.000,14392
1714435200.000000,0.490,0.059,0.000,14479
1714521600.000000,0.574,0.038,0.000,12669
1714608000.000000,0.557,0.037,0.000,14431
1714694400.000000,0.526,0.032,0.000,13460
1714780800.000000,0.577,0.037,0.000,8785
1714867200.000000,0.584,0.036,0.000,8619
1714953600.000000,0.550,0.039,0.000,11027
1715040000.000000,0.597,0.053,0.000,10553
1715126400.000000,0.569,0.046,0.000,10574
1715212800.000000,0.593,0.041,0.000,9353
1715299200.000000,0.586,0.037,0.000,10087
1715385600.000000,0.558,0.036,0.000,8222
1715472000.000000,0.534,0.045,0.000,8397
1715558400.000000,0.520,0.059,0.000,10563
1715644800.000000,0.774,0.021,0.000,4720
1715731200.000000,0.587,0.034,0.000,10573
1715817600.000000,0.558,0.035,0.000,10762
1715904000.000000,0.528,0.042,0.000,11639
1715990400.000000,0.561,0.024,0.000,8598
1716076800.000000,0.623,0.036,0.000,8411
1716163200.000000,0.643,0.031,0.000,9079
1716249600.000000,0.593,0.048,0.000,11351
1716336000.000000,0.585,0.027,0.000,10657
1716422400.000000,0.562,0.034,0.000,10837
1716508800.000000,0.566,0.031,0.000,11779
1716595200.000000,0.532,0.034,0.000,8395
1716681600.000000,0.565,0.022,0.000,8356
1716768000.000000,0.505,0.075,0.000,11069
1716854400.000000,0.541,0.026,0.000,10856
1716940800.000000,0.534,0.041,0.000,10807
1717027200.000000,0.578,0.044,0.000,10068
1717113600.000000,0.533,0.045,0.000,10368
1717200000.000000,0.455,0.077,0.000,8270
1717286400.000000,0.446,0.147,0.000,8372
1717372800.000000,0.399,0.197,0.000,10990
1717459200.000000,0.436,0.143,0.000,11430
1717545600.000000,0.470,0.081,0.000,11211
1717632000.000000,0.438,0.098,0.000,11103
1717718400.000000,0.410,0.109,0.000,11385
1717804800.000000,0.378,0.127,0.000,7302
