"Time","primary"
1679529600.000000,647983
1679616000.000000,627694
1679702400.000000,608432
1679788800.000000,628294
1679875200.000000,280468
1679961600.000000,606485
1680048000.000000,697145
1680134400.000000,661450
1680220800.000000,900326
1680307200.000000,776797
1680393600.000000,831434
1680480000.000000,786784
1680566400.000000,846908
1680652800.000000,874956
1680739200.000000,716709
1680825600.000000,650948
1680912000.000000,665689
1680998400.000000,621469
1681084800.000000,752754
1681171200.000000,704013
1681257600.000000,541652
1681344000.000000,658019
1681430400.000000,550329
1681516800.000000,389616
1681603200.000000,746820
1681689600.000000,628118
1681776000.000000,593671
1681862400.000000,515217
1681948800.000000,498753
1682035200.000000,529564
1682121600.000000,767678
1682208000.000000,860437
1682294400.000000,806756
1682380800.000000,849671
1682467200.000000,13473786
1682553600.000000,58957577
1682640000.000000,57696516
1682726400.000000,49957718
1682812800.000000,29532423
1682899200.000000,37883921
1682985600.000000,52899977
1683072000.000000,53577081
1683158400.000000,55502171
1683244800.000000,55901273
1683331200.000000,48095821
1683417600.000000,28178855
1683504000.000000,55627815
1683590400.000000,56219081
1683676800.000000,53524781
1683763200.000000,53381600
1683849600.000000,54426827
1683936000.000000,45803840
1684022400.000000,26285882
1684108800.000000,51679238
1684195200.000000,53532462
1684281600.000000,55573234
1684368000.000000,38275453
1684454400.000000,53626647
1684540800.000000,34880108
1684627200.000000,22537249
1684713600.000000,38402031
1684800000.000000,50934950
1684886400.000000,52586517
1684972800.000000,50042661
1685059200.000000,49489124
1685145600.000000,46275691
1685232000.000000,27869043
1685318400.000000,36333212
1685404800.000000,55078217
1685491200.000000,56643805
1685577600.000000,53195365
1685664000.000000,59589566
1685750400.000000,47674367
1685836800.000000,27903933
1685923200.000000,57776059
1686009600.000000,58158174
1686096000.000000,55446137
1686182400.000000,48177293
1686268800.000000,56885737
1686355200.000000,46550585
1686441600.000000,29403664
1686528000.000000,59649070
1686614400.000000,61009276
1686700800.000000,60060019
1686787200.000000,58973637
1686873600.000000,58597313
1686960000.000000,49524777
1687046400.000000,27455333
1687132800.000000,43711217
1687219200.000000,59951540
1687305600.000000,58208754
1687392000.000000,59026992
1687478400.000000,59464688
1687564800.000000,51313429
1687651200.000000,30678017
1687737600.000000,60340568
1687824000.000000,57864873
1687910400.000000,58892942
1687996800.000000,58921890
1688083200.000000,60436769
1688169600.000000,50476456
1688256000.000000,28977674
1688342400.000000,62240540
1688428800.000000,60403655
1688515200.000000,61169063
1688601600.000000,59291298
1688688000.000000,60374059
1688774400.000000,48863962
1688860800.000000,33424581
1688947200.000000,60397788
1689033600.000000,62971113
1689120000.000000,60819642
1689206400.000000,57342168
1689292800.000000,61651324
1689379200.000000,51665918
1689465600.000000,32765731
1689552000.000000,62119403
1689638400.000000,62216286
1689724800.000000,64185586
1689811200.000000,63033452
1689897600.000000,63450721
1689984000.000000,53886913
1690070400.000000,34720023
1690156800.000000,62935463
1690243200.000000,59790101
1690329600.000000,61873883
1690416000.000000,59937648
1690502400.000000,60690390
1690588800.000000,51432294
1690675200.000000,30895201
1690761600.000000,61126344
1690848000.000000,59599111
1690934400.000000,59599510
1691020800.000000,57508258
1691107200.000000,58873137
1691193600.000000,52045289
1691280000.000000,33074498
1691366400.000000,57731876
1691452800.000000,59410351
1691539200.000000,60472834
1691625600.000000,61121326
1691712000.000000,57026357
1691798400.000000,51886803
1691884800.000000,32191915
1691971200.000000,61277734
1692057600.000000,60129056
1692144000.000000,63670106
1692230400.000000,63141838
1692316800.000000,62539332
1692403200.000000,42325779
1692489600.000000,29977130
1692576000.000000,47916504
1692662400.000000,60304252
1692748800.000000,59756922
1692835200.000000,59705151
1692921600.000000,61103193
1693008000.000000,49233549
1693094400.000000,5535104
1693180800.000000,3053033
1693267200.000000,26081803
1693353600.000000,58818846
1693440000.000000,58538386
1693526400.000000,57592769
1693612800.000000,48859552
1693699200.000000,32026083
1693785600.000000,61050653
1693872000.000000,60463015
1693958400.000000,59165777
1694044800.000000,60331066
1694131200.000000,49838521
1694217600.000000,6099882
1694304000.000000,2993308
1694390400.000000,6073643
1694476800.000000,6631616
1694563200.000000,3860787
1694649600.000000,3207657
1694736000.000000,3930110
1694822400.000000,15784058
1694908800.000000,3273754
1694995200.000000,34984922
1695081600.000000,59515265
1695168000.000000,63034871
1695254400.000000,63124640
1695340800.000000,57092416
1695427200.000000,43866246
1695513600.000000,28811918
1695600000.000000,54715943
1695686400.000000,57478903
1695772800.000000,59043707
1695859200.000000,61195130
1695945600.000000,61469518
1696032000.000000,46492290
1696118400.000000,34694746
1696204800.000000,62298302
1696291200.000000,38340836
1696377600.000000,60660068
1696464000.000000,60496367
1696550400.000000,59873436
1696636800.000000,50081190
1696723200.000000,34592916
1696809600.000000,59738024
1696896000.000000,57882219
1696982400.000000,60907325
1697068800.000000,61703672
1697155200.000000,62595289
1697241600.000000,51375812
1697328000.000000,34526380
1697414400.000000,58368043
1697500800.000000,55634343
1697587200.000000,58923876
1697673600.000000,58084575
1697760000.000000,57040574
1697846400.000000,49431433
1697932800.000000,34157175
1698019200.000000,60251791
1698105600.000000,61300631
1698192000.000000,64888987
1698278400.000000,63608369
1698364800.000000,62840802
1698451200.000000,50940499
1698537600.000000,32664470
1698624000.000000,58675289
1698710400.000000,53230651
1698796800.000000,47955922
1698883200.000000,60242902
1698969600.000000,60526851
1699056000.000000,50386071
1699142400.000000,32692833
1699228800.000000,61088608
1699315200.000000,57746904
1699401600.000000,61899629
1699488000.000000,63180390
1699574400.000000,62743935
1699660800.000000,50529605
1699747200.000000,31623151
1699833600.000000,62578896
1699920000.000000,63140832
1700006400.000000,62554042
1700092800.000000,54043889
1700179200.000000,58694248
1700265600.000000,45831693
1700352000.000000,32719774
1700438400.000000,61173986
1700524800.000000,62114457
1700611200.000000,62730100
1700697600.000000,61903367
1700784000.000000,58404621
1700870400.000000,47997996
1700956800.000000,41164620
1701043200.000000,60687282
1701129600.000000,61715684
1701216000.000000,59975253
1701302400.000000,32815870
1701388800.000000,30951789
1701475200.000000,22887168
1701561600.000000,28708981
1701648000.000000,61489635
1701734400.000000,60350235
1701820800.000000,60537907
1701907200.000000,61470944
1701993600.000000,49159592
1702080000.000000,51034038
1702166400.000000,29943199
1702252800.000000,55616797
1702339200.000000,56457509
1702425600.000000,55837286
1702512000.000000,55027560
1702598400.000000,54482512
1702684800.000000,46503125
1702771200.000000,34398523
1702857600.000000,59082333
1702944000.000000,62596948
1703030400.000000,63562706
1703116800.000000,61439725
1703203200.000000,60234855
1703289600.000000,52038285
1703376000.000000,30799590
1703462400.000000,41789364
1703548800.000000,42432093
1703635200.000000,62235887
1703721600.000000,46881476
1703808000.000000,3029434
1703894400.000000,10657183
1703980800.000000,31382505
1704067200.000000,42965711
1704153600.000000,59192085
1704240000.000000,60733394
1704326400.000000,60029287
1704412800.000000,60936610
1704499200.000000,21359716
1704585600.000000,18602523
1704672000.000000,57534443
1704758400.000000,61207582
1704844800.000000,50884613
1704931200.000000,50722515
1705017600.000000,52425817
1705104000.000000,25081724
1705190400.000000,10621410
1705276800.000000,62747522
1705363200.000000,62362775
1705449600.000000,62386653
1705536000.000000,62094696
1705622400.000000,62812788
1705708800.000000,53127639
1705795200.000000,32392039
1705881600.000000,64125477
1705968000.000000,64965086
1706054400.000000,53763493
1706140800.000000,55824659
1706227200.000000,53716430
1706313600.000000,44016672
1706400000.000000,28539697
1706486400.000000,58605995
1706572800.000000,66207821
1706659200.000000,65007131
1706745600.000000,63870407
1706832000.000000,42220238
1706918400.000000,53043180
1707004800.000000,34419315
1707091200.000000,63113983
1707177600.000000,66923846
1707264000.000000,68528628
1707350400.000000,67299379
1707436800.000000,65478265
1707523200.000000,54145442
1707609600.000000,34322075
1707696000.000000,61859882
1707782400.000000,61179431
1707868800.000000,62291543
1707955200.000000,53156417
1708041600.000000,61755037
1708128000.000000,52077146
1708214400.000000,34071873
1708300800.000000,58140319
1708387200.000000,7279143
1708473600.000000,32774378
1708560000.000000,66897448
1708646400.000000,67118060
1708732800.000000,53510708
1708819200.000000,34796497
1708905600.000000,65865143
1708992000.000000,62914050
1709078400.000000,62659238
1709164800.000000,44285302
1709251200.000000,37427600
1709337600.000000,48238148
1709424000.000000,31583637
1709510400.000000,57665184
1709596800.000000,49621183
1709683200.000000,47727791
1709769600.000000,46563479
1709856000.000000,45908911
1709942400.000000,47071330
1710028800.000000,31505052
1710115200.000000,56909640
1710201600.000000,46217597
1710288000.000000,57382017
1710374400.000000,52426724
1710460800.000000,52223399
1710547200.000000,43399708
1710633600.000000,27774550
1710720000.000000,50807958
1710806400.000000,48066784
1710892800.000000,48678954
1710979200.000000,51193383
1711065600.000000,50905897
1711152000.000000,43084528
1711238400.000000,26142322
1711324800.000000,50632140
1711411200.000000,49112432
1711497600.000000,50120341
1711584000.000000,50542376
1711670400.000000,35453039
1711756800.000000,43817560
1711843200.000000,24625280
1711929600.000000,31473872
1712016000.000000,50814019
1712102400.000000,47797507
1712188800.000000,52214807
1712275200.000000,52153687
1712361600.000000,43703394
1712448000.000000,27106087
1712534400.000000,48410301
1712620800.000000,50116829
1712707200.000000,51174277
1712793600.000000,50715461
1712880000.000000,50948187
1712966400.000000,39233848
1713052800.000000,26636462
1713139200.000000,50387304
1713225600.000000,51930908
1713312000.000000,52905408
1713398400.000000,48702254
1713484800.000000,48251361
1713571200.000000,43077654
1713657600.000000,27263134
1713744000.000000,51435279
1713830400.000000,51414404
1713916800.000000,52429107
1714003200.000000,52502190
1714089600.000000,52539460
1714176000.000000,44015979
1714262400.000000,28307005
1714348800.000000,51951671
1714435200.000000,53175462
1714521600.000000,36159370
1714608000.000000,53493158
1714694400.000000,54343695
1714780800.000000,44428941
1714867200.000000,25553745
1714953600.000000,51672060
1715040000.000000,50862899
1715126400.000000,50911104
1715212800.000000,35605952
1715299200.000000,52351772
1715385600.000000,43289679
1715472000.000000,25411065
1715558400.000000,52244945
1715644800.000000,2009209
1715731200.000000,39031183
1715817600.000000,53267756
1715904000.000000,54578998
1715990400.000000,43691820
1716076800.000000,27409090
1716163200.000000,33650138
1716249600.000000,49603460
1716336000.000000,51165241
1716422400.000000,51108020
1716508800.000000,51885610
1716595200.000000,40990650
1716681600.000000,23243032
1716768000.000000,45959974
1716854400.000000,49577842
1716940800.000000,50442901
1717027200.000000,40320122
1717113600.000000,48673679
1717200000.000000,39657159
1717286400.000000,24750619
1717372800.000000,48363316
1717459200.000000,50005974
1717545600.000000,50778527
1717632000.000000,51479098
1717718400.000000,50940755
1717804800.000000,39357288
